Date/Time Transaction,Organization Name,,Currency,Amount,TXID,User,USD Value
04/10/2020 4:20,International Medical Corps,,ETH,0.3,c16e9ee43e29d4ac1f7beedcc7287a2b4c021d751be378ccdf34f21a89374953,ceresstation,46.20
04/10/2020 4:25,SOS Children's Villages,,ETH,0.3,98a5e0e97b0abe36f8e4f4ab097bb071827faa6b7cf68f755e38c53e84bab3aa,ceresstation,46.20
04/10/2020 4:25,US4Warriors,,ETH,0.3,b172a0cdba45d23002d3a6eaffdc7fd51e3bf2062fdd36c4e35a883c62340d00,ceresstation,46.20
04/10/2020 4:26,No Kid Hungry,,ETH,0.3,cd1b9a5dfdbdcf78a93a710c397475227711785676531e3dd9c710d7ef50bc7f,ceresstation,46.20
04/09/2020 20:11,No Kid Hungry,,BTC,0.00688146,d58456d6bbd76792ddd130e144e75a129951b91bd3e69a462c8426a48f156f1a,owocki,46.45
04/09/2020 16:31,US4Warriors,,BTC,0.007,dc3886e145d6a013a402bd0e8211d08a981f09a1e66fe613809cfba16ae525ab,vs77bb,47.25
04/09/2020 16:31,International Medical Corps,,BTC,0.007,862560803cf901157ccbb265a3bf6cdb907a9dbd45f38020c1170b7263bd62cb,vs77bb,47.25
04/09/2020 16:31,Eve's Place,617,BTC,0.007,bd950f768df129f3a650cbf2a39f865599d21e5c8706804c287e8f397f04becf,vs77bb,47.25
04/09/2020 16:31,"SOS Children's Villages
",,BTC,0.007,d4e760f56edf8701cd9e66226eb3b2bb69b6c7d162321a2b582150ec491418e2,vs77bb,47.25
03/31/2020 17:34,Save the Children®,,BTC,0.008,6f9eb5d1ab7218860c95c74b8dfbcdc0bfc030f4f8037af8bb0ab57cebf21c68,ceresstation,54.00
03/23/2020 02:59,No Kid Hungry,,BTC,0.01,78026014f7bc7135f2b948b34e1aa47a1ffa354f5c34283ccebf5c2c01cca6ee,zayirey,67.50
03/25/2020 00:55,No Kid Hungry,,BTC,0.01,819efd9615ae2f5fb03b84c5a15b776967b4b7e819e4f68403f52cb6d19ff273,zayirey,67.50
04/01/2020 00:29,Palm Beach Habilitation Center,,BTC,0.01,9ed45331f7f6d28f17f2a5586241acaf85f339b94b72de3e61c0c044c5d69557,ceresstation,67.50
03/25/2020 23:13,Save the Children®,,BTC,0.011229,1cc935e6f522d1763060a2ea4a92a896bdc95a1d82074afb4760b65aafe06697,jonsats,75.80
04/09/2020 13:50,No Kid Hungry,,ETH,0.55802566,ebe58d7063d87c35684844b8d2acd626c08ba92e03c198e261165d7b1b8413f7,vs77bb,85.94
04/08/2020 17:14,No Kid Hungry,,BTC,0.013563,986820a5dead169456dce9449dab962f2f2f31567f9d0bb07816f47cd349e833,victoria-deluca,91.55
04/08/2020 17:14,US4Warriors,,BTC,0.013563,91f06905f19792105fb4d63e8fbe9cac1c1106ae9e7f25822094c82ec095c1b4,victoria-deluca,91.55
04/08/2020 17:14,Eve's Place,617,BTC,0.013563,31f095e3b913bbfb42a28d0c229115572771d22c2b0547189c079a782363d0e0,victoria-deluca,91.55
04/08/2020 17:14,The Water Project,,BTC,0.013563,65cab174979f0b8c9f0732b25bd49ea3e2fb71485a320aa1b9565ed5d2cad573,victoria-deluca,91.55
04/08/2020 17:14,International Medical Corps,,BTC,0.013563,17d5249ec75a8964720702135a7d6e2d04277e4eb046b5a10257b667a0df0d08,victoria-deluca,91.55
04/08/2020 17:14,Save the Children®,,BTC,0.013563,6b90ca8086bcb8984a8dfb220aaebb76d37e85f6f5b21041177e3384b8f97cdb,victoria-deluca,91.55
04/08/2020 17:14,"SOS Children's Villages
",,BTC,0.013563,613f2e78c97c0be087f2325583d1e2f569f522030c0301fe2381e461f387f8d8,victoria-deluca,91.55
04/10/2020 2:01,Eve's Place,617,BTC,0.01386,825b4bca1cb8e73502c878064894d06461c6cef6fe859d5ea42b4a11b8c3b14a,owocki,93.56
04/10/2020 2:01,US4Warriors,,BTC,0.01386,3a2aa3599664e53d41f2bccaa4de0e0f39a22b209fec37d1dce4a49fd887a299,owocki,93.56
04/10/2020 2:01,Save the Children®,,BTC,0.01386,8e40e28eb86ce238d13d5697e0011c45b30278982259f9bdf6bcf0b94f1bc6a6,owocki,93.56
04/10/2020 2:01,SOS Children's Villages,,BTC,0.01386,13bab1a578434134dab3cc099b6c9aeed2f247d2a12757d1cdf44ca062b96bcd,ceresstation,93.56
04/10/2020 2:01,International Medical Corps,,BTC,0.01386,f67a0ea8c840d4e4e31dabbc52a5c24eee1c4b806349916ce1dec5de3f05ae36,ceresstation,93.56
04/10/2020 2:01,The Water Project,,BTC,0.01386,a6350b730c8af87a8519efacdfe01aa6436fc5df4b66f941439ad2f6e763f071,ceresstation,93.56
04/10/2020 2:01,No Kid Hungry,,BTC,0.01386,9483b0ac12eb6490862ab2eac843a38942fcb12e9b9bdc51cf5be39149cf8eb3,ceresstation,93.56
04/10/2020 2:01,Team Rubicon,,BTC,0.01386,90db38918e3e4a9a40852c66d4037e0ee6be36212e9eb4c058c3fa6ef6f67081,ceresstation,93.56
04/10/2020 2:01,Eve's Place,617,BTC,0.01386,304af3f739e9bc5e78dac351b3346848bba4b764e5dd268ab0220fe9a1e55f86,ceresstation,93.56
04/10/2020 2:01,US4Warriors,,BTC,0.01386,8d628786e0c94003e1ad05474d8a125e90ada7c1faddc9e445f3b669623ed5f2,ceresstation,93.56
04/10/2020 2:01,Save the Children®,,BTC,0.01386,de513905066479556768813ae36e7fcd57e45b1f1f0b35192295d82c8c5c3404,ceresstation,93.56
04/10/2020 2:01,SOS Children's Villages,,BTC,0.01386,de69a01d245c47b5a7ab9bdf7fdc976778e4a30e1033610fc8ffcc1b067cdd67,ceresstation,93.56
04/10/2020 2:01,International Medical Corps,,BTC,0.01386,2f65c2fce57fd45bceb720636c6f87bc3fb2b773bc8fe0ec1b93785955ccbb13,ceresstation,93.56
04/10/2020 2:03,The Water Project,,BTC,0.01386,f55d6119cda5466c390b59f8a2fa531c4c65ce64b63e1a25595ae4bda3c1aa6e,ceresstation,93.56
04/10/2020 2:03,No Kid Hungry,,BTC,0.01386,0013d20b9f8e1f78e42dbdf74dce0b9e2319dcfe82d3b303bd657e6e508a65fa,ceresstation,93.56
04/10/2020 2:06,Team Rubicon,,BTC,0.01386,db07261a94ca9a0cc175802f0f9d9b87f0cb5bd77f7362028698e43f3037db3d,ceresstation,93.56
03/27/2020 05:10,Save the Children®,,BTC,0.015,c9f95a0cad6e9af12cc919c7995e72ceae7f61cc311bd6fc4047c9e372b43302,jonsats,101.25
03/30/2020 14:21,Rainforest Foundation US,,BTC,0.01708236,90a2411a0ad416962b98620bf351d7f41364fcb3bc8ae43e42cba65d2e3c297e,jonsats,115.31
04/10/2020 3:53,The Water Project,,BCH,0.75212344,877a4cfc19734552f2d336a1bf53071e8d49285befb4814c39f2ddf349d4c707,ceresstation,115.83
03/29/2020 02:23,No Kid Hungry,,ETH,0.77,ccd8974225edb4f33bb039cc054f5fd6fe4a71b8e378afc9db246b923829f4cc,jonsats,118.58
04/03/2020 04:59,Save the Children®,,BTC,0.02,4dfdd48070fff5b19e28c7d98a35a41be7149dfd5d367158fb5ba2792778f330,ceresstation,135.00
03/23/2020 15:30,No Kid Hungry,,ETH,1,a4890c5539b0053fa966fcda80e339591d1ca26b2563a7e0605b546e8a276fc6,zayirey,154.00
04/09/2020 19:37,Eve's Place,617,ETH,1,b4dde399c6fc18bad695637445d5758698e25e7178af85b300fab8e51e426658,owocki,154.00
04/09/2020 19:37,US4Warriors,,ETH,1,d8df54988bab23dd9eb2bdd756ea328e23069376f0409f4199b2349034313709,owocki,154.00
04/09/2020 19:39,Save the Children®,,ETH,1,dc7a30fc2b887ade4407e0257f51dd547712bb801bb48b1b1ace51e6eb9e3423,owocki,154.00
04/09/2020 19:40,"SOS Children's Villages
",,ETH,1,48ccc0ff0dbe96e808ed68323ba18c8234335641c8bd0763c54b481cb19b2a2a,owocki,154.00
04/09/2020 19:41,International Medical Corps,,ETH,1,187d746326a1dcce15bb7336281a4127bac5e1fb035f4e1d1d23b1d62ee362ec,owocki,154.00
04/09/2020 19:42,The Water Project,,ETH,1,b3991a7afd9daae6577afc6f8db7f6cb53d17402b45eedd0282754c2e49da428,owocki,154.00
04/09/2020 19:42,No Kid Hungry,,ETH,1,89832a7f503468a454b7e4ad9d211134fdd41742ca65f23d349827a3890f0d7b,owocki,154.00
04/09/2020 18:07,The Water Project,,BTC,0.02772,f200b8ee22e089ee21456c1a6e69364cfd2c473ad200af3713e587792eb41859,vs77bb,187.11
04/09/2020 18:07,Eve's Place,617,BTC,0.02772,8a4feaaaf6954495ea4c0711024964c71d702b3ccc29f9f572d48517b0cd4b10,vs77bb,187.11
04/09/2020 18:07,Save the Children®,,BTC,0.02772,b5b58320fbc37e3f58bb4696342af28a5b5030add55b3d2624d54df98a55bb42,vs77bb,187.11
04/09/2020 18:07,US4Warriors,,BTC,0.02772,e6d103e0c43686fcafe3aaafc4f8d0ec874eea7a20af7a70236072753f1bf203,vs77bb,187.11
04/09/2020 18:07,"SOS Children's Villages
",,BTC,0.02772,e9d029e8dd2bacbc090754637bc584ab8de969420932aec5cca7cf6d93305dd0,vs77bb,187.11
04/09/2020 18:07,No Kid Hungry,,BTC,0.02772,cde5fd9da182d76a476ed54781a434b61797fee6f72385d74a1250815e1b0d38,owocki,187.11
04/09/2020 18:12,International Medical Corps,,BTC,0.02772,71b249d9d9ace7c3cba423237c6bd44c63af4121360d3b27b58224bcfbda3e3e,owocki,187.11
03/22/2020 22:52,No Kid Hungry,,BTC,0.03,8ddccf38bb914c8e45056e10925b28b422e295057cc7fb2e01050ab965f10c7e,zayirey,202.50
03/30/2020 23:27,Tor Project,,ZEC,7,fac48cac213b1576035683f4dfec557a7e1f7acf9702c1a3ebf42589560ba758,ceresstation,245.00
04/03/2020 15:44,"SOS Children's Villages
",,ETH,1.9,4551fc2cda65762560738cf5aaed2bfd72dd2fe814badf36b95f59c2cc7c0444,ceresstation,292.60
04/03/2020 04:26,No Kid Hungry,,BTC,0.05,4189a67968166c25c8373dde76cea8b30b995c1085ecbd897e61a4869a9a3e13,ceresstation,337.50
04/03/2020 15:43,No Kid Hungry,,ETH,2.2,8a1b5f51ce5e42c867ff039fd44b6d08daad6e2c1641f7250d5b1eaabe60056b,ceresstation,338.80
03/25/2020 13:57,No Kid Hungry,,ZEC,10,469801e21156bb5d00a6fe2976e9dc7136b59ba9b8fcff8600f195aa89f95f6d,zayirey,350.00
04/09/2020 14:24,The Water Project,,BTC,0.1364,1027e536bc0246830d18f01abbaa683889a053d649b12ad3d88ac0afc9145803,vs77bb,920.70
03/25/2020 17:20,"SOS Children's Villages
",,ZEC,50,81bfa05b391a2291f59b0d6165bc53a994949b612d562c2efac9d12081550e60,zayirey,1750.00
03/25/2020 17:32,Save the Children®,,ZEC,50,4d83b6bd818fd24fe346896e53affce4e53dda7d3ace1d244e387257b68ecb9c,jonsats,1750.00
04/03/2020 15:42,Save the Children®,,ETH,14.5,8b79a1c186e200dd782b9c760940067d33cf4f14b697a264f75eef1351a97f42,ceresstation,2233.00
04/08/2020 21:53,No Kid Hungry,,BTC,3,53c2ceb387ab9bce19f261d6e50e308c6d4cff1d0770e366fa75e90bfc28cb21,vs77bb,20250.00
